ward,target
21001001: Ward 1,18.457785783613097
21001002: Ward 2,13.631326409288768
21001003: Ward 3,22.49774382474793
21001004: Ward 4,16.715163626731147
21001005: Ward 5,21.46838835063442
21001006: Ward 6,23.729554578765985
21001007: Ward 7,14.404236865893107
21002001: Ward 1,17.9446399191143
21002002: Ward 2,16.485552728597
21002003: Ward 3,22.48584120696612
21002004: Ward 4,21.748467492526526
21002005: Ward 5,17.51445098976076
21002006: Ward 6,17.103794822200335
21004001: Ward 1,15.413335010486637
21004002: Ward 2,23.632814188829606
21004003: Ward 3,15.98474810827787
21004004: Ward 4,11.927669285259153
21004005: Ward 5,23.883877661785483
21004006: Ward 6,20.926532593264966
21004007: Ward 7,24.231445519546988
21004008: Ward 8,14.942381581287432
21004009: Ward 9,23.203112084696805
21004010: Ward 10,21.363167506962427
21004011: Ward 11,26.18784827356884
21004012: Ward 12,13.411856946191111
21004013: Ward 13,20.296611154493444
21004014: Ward 14,17.834553737619714
21005001: Ward 1,27.011451159153268
21005002: Ward 2,16.32023848475702
21005003: Ward 3,16.607018832967988
21005004: Ward 4,17.65987411095763
21005005: Ward 5,19.66232456244399
21005006: Ward 6,14.620367445250741
21005007: Ward 7,26.534214831363983
21005008: Ward 8,23.886938329921946
21005009: Ward 9,22.389583836920735
21005010: Ward 10,6.296421422251272
21006001: Ward 1,21.350043226412517
21006002: Ward 2,18.18454259425461
21006003: Ward 3,17.82621492368436
21006004: Ward 4,22.072192683806097
21006005: Ward 5,22.80610322777882
21006006: Ward 6,18.61960940200047
21006007: Ward 7,14.756126505369394
21006008: Ward 8,18.139002166516057
21008001: Ward 1,14.583584434120056
21008002: Ward 2,17.36770283347913
21008003: Ward 3,6.526569238072199
21008004: Ward 4,18.16319176286477
21008005: Ward 5,17.593278657782754
21008006: Ward 6,22.755107258267195
21008007: Ward 7,14.46808980476591
21008008: Ward 8,7.765137303330146
21008009: Ward 9,19.058465650280283
21008010: Ward 10,19.80998148311577
21008011: Ward 11,8.816287024913503
21008012: Ward 12,13.553398965367123
21008013: Ward 13,16.04393875584097
21008014: Ward 14,14.730002108746664
21008015: Ward 15,15.281747500747201
21009001: Ward 1,17.704022664275342
21009002: Ward 2,14.649402297841373
21009003: Ward 3,19.3274347097748
