iter	RMSE
0	10.21070879
1	9.870924568
2	9.545982716
3	9.242633895
4	8.948883673
5	8.669058485
6	8.406444765
7	8.171658802
8	7.932466994
9	7.704089949
10	7.489772685
11	7.287547714
12	7.093442349
13	6.90229746
14	6.725468379
15	6.561005727
16	6.401738981
17	6.251434934
18	6.106906644
19	5.974760623
20	5.852887915
21	5.732808884
22	5.619178322
23	5.507240364
24	5.409469317
25	5.318768166
26	5.221092988
27	5.125776604
28	5.046015548
29	4.961090262
30	4.876223787
31	4.806342149
32	4.735018844
33	4.676112571
34	4.609310656
35	4.551523881
36	4.494405399
37	4.434749599
38	4.380063862
39	4.331291073
40	4.288695152
41	4.250340848
42	4.210411989
43	4.165537208
44	4.124296287
45	4.091347889
46	4.059755818
47	4.026202441
48	3.992771575
49	3.962777664
50	3.932079062
51	3.90378348
52	3.876814748
53	3.850510757
54	3.825778
55	3.806592041
56	3.779899033
57	3.759695793
58	3.738608513
59	3.714128065
60	3.697917071
61	3.675174013
62	3.656927257
63	3.638908726
64	3.625262479
65	3.610923781
66	3.595055237
67	3.576621472
68	3.561208048
69	3.547077141
70	3.534391917
71	3.517657794
72	3.50307419
73	3.491143484
74	3.475795264
75	3.462340116
76	3.452294997
77	3.440649057
78	3.427219447
79	3.41824865
80	3.408681884
81	3.400044287
82	3.388591029
83	3.379739974
84	3.371574257
85	3.363136463
86	3.354359254
87	3.346328167
88	3.334149057
89	3.328329274
90	3.319847714
91	3.312123992
92	3.305123816
93	3.299047302
94	3.291802064
95	3.286423402
96	3.279520274
97	3.27259863
98	3.265881385
99	3.258754786
100	3.249105268
101	3.243104234
102	3.23675337
103	3.23019054
104	3.221471089
105	3.214294177
106	3.207800755
107	3.199509958
108	3.19200957
109	3.184771171
110	3.17748622
111	3.171293505
112	3.165509012
113	3.156873528
114	3.148789433
115	3.140354798
116	3.136348703
117	3.129049268
118	3.124731707
119	3.119275884
120	3.115211369
121	3.109934473
122	3.101728814
123	3.098394217
124	3.092131905
125	3.084929087
126	3.080198405
127	3.07560582
128	3.06953446
129	3.063386419
130	3.056441414
131	3.048146889
132	3.042769761
133	3.038016971
134	3.034423048
135	3.027728108
136	3.020643702
137	3.016063036
138	3.00992854
139	3.00548682
140	3.001342835
141	2.997551752
142	2.993233465
143	2.986806877
144	2.982187931
145	2.978137876
146	2.97011709
147	2.967206902
148	2.963495235
149	2.957648364
150	2.954480621
151	2.949500242
152	2.944839827
153	2.938540118
154	2.933942075
155	2.927997547
156	2.9221401
157	2.918053369
158	2.913255954
159	2.909491283
160	2.902807102
161	2.89877752
162	2.889679917
163	2.884586683
164	2.879039843
165	2.873226684
166	2.86862509
167	2.862233658
168	2.857660868
169	2.851476254
170	2.846041301
171	2.841646768
172	2.838769983
173	2.834691576
174	2.829715716
175	2.824690397
176	2.819383946
177	2.814039635
178	2.807035794
179	2.799242114
180	2.794457939
181	2.788349458
182	2.785403513
183	2.781530443
184	2.776920823
185	2.772327819
186	2.763921661
187	2.757134582
188	2.751554098
189	2.747407526
190	2.742582803
191	2.737665342
192	2.733145371
193	2.726011678
194	2.72130111
195	2.717122639
196	2.711491113
197	2.705691822
198	2.701958332
199	2.699706123
200	2.694577445
201	2.689297924
202	2.682907353
203	2.677007402
204	2.672488544
205	2.666548384
206	2.659787456
207	2.656292273
208	2.650772629
209	2.645046379
210	2.640051452
211	2.635108884
212	2.630975044
213	2.626410255
214	2.621434458
215	2.616112358
216	2.612501686
217	2.607981097
218	2.601908732
219	2.596604472
220	2.591984595
221	2.584397646
222	2.578619911
223	2.574096144
224	2.570025457
225	2.56527111
226	2.560763262
227	2.554661513
228	2.549953204
229	2.546296668
230	2.542677514
231	2.538633469
232	2.534195352
233	2.529102958
234	2.526409806
235	2.521939563
236	2.517675754
237	2.512721207
238	2.506431186
239	2.503566642
240	2.498796661
