iter	Passed	Remaining
0	9	9567
1	18	9398
2	27	9180
3	37	9420
4	46	9309
5	55	9235
6	64	9136
7	73	9066
8	81	8995
9	90	8958
10	99	8930
11	108	8904
12	116	8852
13	125	8813
14	133	8788
15	142	8777
16	151	8769
17	160	8744
18	169	8753
19	178	8742
20	186	8708
21	195	8708
22	211	9002
23	222	9050
24	231	9036
25	240	9013
26	249	8996
27	258	8967
28	266	8938
29	275	8906
30	285	8937
31	296	8959
32	305	8966
33	316	8989
34	326	9011
35	337	9031
36	348	9059
37	358	9079
38	369	9101
39	379	9119
40	390	9135
41	411	9392
42	423	9429
43	432	9393
44	441	9364
45	449	9332
46	458	9301
47	467	9270
48	476	9243
49	484	9214
50	493	9185
51	502	9158
52	511	9133
53	520	9111
54	528	9084
55	537	9052
56	545	9023
57	553	8994
58	562	8968
59	570	8940
60	579	8916
61	587	8894
62	597	8883
63	607	8890
64	623	8968
65	635	8991
66	644	8975
67	653	8954
68	663	8952
69	673	8953
70	684	8954
71	693	8941
72	704	8940
73	714	8940
74	724	8940
75	738	8979
76	749	8979
77	759	8974
78	769	8970
79	779	8961
80	788	8951
81	799	8948
82	809	8941
83	819	8935
84	832	8961
85	847	9010
86	858	9004
87	869	9010
88	880	9008
89	890	8999
90	899	8986
91	909	8975
92	919	8971
93	930	8968
94	940	8958
95	950	8953
96	960	8945
97	970	8936
98	981	8931
99	991	8921
100	1001	8913
101	1011	8909
102	1022	8900
103	1036	8927
104	1051	8962
105	1062	8963
106	1073	8957
107	1083	8949
108	1093	8939
109	1103	8927
110	1112	8912
111	1123	8903
112	1138	8935
113	1148	8927
114	1158	8916
115	1168	8904
116	1178	8895
117	1188	8886
118	1199	8878
119	1209	8867
120	1218	8853
121	1229	8849
122	1250	8913
123	1263	8929
124	1277	8941
125	1287	8933
126	1297	8919
127	1307	8907
128	1317	8894
129	1327	8885
130	1337	8875
131	1347	8862
132	1358	8855
133	1368	8843
134	1378	8833
135	1388	8823
136	1398	8811
137	1409	8801
138	1418	8788
139	1429	8778
140	1438	8765
141	1450	8765
142	1470	8812
143	1483	8819
144	1494	8812
145	1505	8803
146	1515	8791
147	1525	8780
148	1544	8820
149	1554	8808
150	1564	8794
151	1574	8786
152	1587	8787
153	1601	8795
154	1613	8794
155	1625	8796
156	1638	8797
157	1650	8794
158	1663	8799
159	1680	8822
160	1697	8847
161	1709	8843
162	1723	8851
163	1736	8852
164	1749	8852
165	1761	8848
166	1774	8853
167	1786	8847
168	1798	8841
169	1817	8871
170	1834	8895
171	1848	8899
172	1861	8900
173	1885	8950
174	1900	8958
175	1914	8963
176	1928	8966
177	1943	8974
178	1955	8970
179	1968	8967
180	1982	8970
181	1995	8967
182	2008	8968
183	2021	8966
184	2037	8976
185	2052	8980
186	2074	9020
187	2092	9039
188	2107	9042
189	2122	9048
190	2135	9043
191	2149	9044
192	2162	9040
193	2176	9043
194	2189	9037
195	2201	9032
196	2221	9055
197	2234	9048
198	2247	9047
199	2258	9032
200	2267	9013
201	2277	8997
202	2293	9003
203	2305	8995
204	2315	8977
205	2325	8964
206	2335	8948
207	2346	8935
208	2357	8920
209	2367	8906
210	2377	8891
211	2387	8875
212	2397	8859
213	2407	8842
214	2417	8825
215	2425	8805
216	2435	8787
217	2443	8765
218	2452	8744
219	2461	8725
220	2469	8705
221	2481	8697
222	2496	8697
223	2505	8678
224	2514	8660
225	2522	8640
226	2531	8621
227	2540	8602
228	2549	8583
229	2557	8563
230	2567	8545
231	2575	8526
232	2583	8506
233	2592	8486
234	2600	8466
235	2609	8446
236	2617	8428
237	2626	8408
238	2634	8389
239	2643	8371
240	2652	8352
241	2660	8334
242	2669	8316
243	2678	8298
244	2691	8292
245	2702	8282
246	2712	8268
247	2721	8252
248	2730	8235
249	2739	8218
250	2748	8202
251	2757	8184
252	2766	8167
253	2774	8149
254	2783	8132
255	2792	8115
256	2801	8098
257	2809	8081
258	2818	8064
259	2828	8050
260	2837	8034
261	2846	8017
262	2854	7999
263	2863	7983
264	2872	7966
265	2883	7957
266	2895	7949
267	2906	7939
268	2915	7922
269	2924	7905
270	2933	7890
271	2941	7874
272	2950	7857
273	2959	7840
274	2967	7823
275	2976	7807
276	2984	7790
277	2993	7774
278	3001	7757
279	3010	7740
280	3018	7724
281	3027	7708
282	3036	7693
283	3045	7677
284	3053	7661
285	3062	7645
286	3071	7630
287	3085	7628
288	3099	7625
289	3113	7623
290	3124	7613
291	3134	7600
292	3144	7587
293	3154	7575
294	3164	7563
295	3174	7550
296	3184	7537
297	3194	7525
298	3204	7513
299	3215	7502
300	3225	7491
301	3235	7478
302	3244	7462
303	3252	7447
304	3262	7433
305	3270	7418
306	3279	7402
307	3290	7394
308	3302	7385
309	3314	7377
310	3323	7362
311	3332	7349
312	3341	7335
313	3350	7319
314	3358	7304
315	3367	7288
316	3375	7273
317	3384	7258
318	3393	7244
319	3402	7229
320	3410	7215
321	3420	7201
322	3428	7186
323	3437	7172
324	3446	7157
325	3454	7143
326	3463	7128
327	3472	7113
328	3480	7099
329	3493	7093
330	3508	7091
331	3519	7081
332	3529	7069
333	3537	7054
334	3548	7044
335	3557	7030
336	3566	7016
337	3575	7002
338	3584	6988
339	3593	6974
340	3601	6960
341	3610	6946
342	3619	6933
343	3628	6919
344	3637	6905
345	3645	6891
346	3654	6877
347	3663	6863
348	3671	6849
349	3680	6835
350	3689	6821
351	3701	6815
352	3714	6807
353	3724	6796
354	3732	6782
355	3741	6768
356	3750	6755
357	3759	6741
358	3768	6728
359	3776	6713
360	3784	6699
361	3793	6685
362	3802	6672
363	3811	6659
364	3820	6646
365	3828	6632
366	3837	6618
367	3845	6604
368	3854	6591
369	3864	6579
370	3873	6566
371	3882	6554
372	3891	6541
373	3901	6530
374	3911	6518
375	3920	6505
376	3928	6492
377	3937	6478
378	3946	6465
379	3954	6452
380	3963	6439
381	3972	6426
382	3981	6413
383	3990	6401
384	3998	6387
385	4007	6374
386	4016	6361
387	4024	6348
388	4033	6336
389	4042	6322
390	4051	6309
391	4059	6296
392	4068	6284
393	4077	6270
394	4085	6257
395	4094	6245
396	4104	6234
397	4113	6222
398	4122	6209
399	4131	6196
400	4139	6183
401	4148	6170
402	4157	6158
403	4165	6145
404	4174	6132
405	4183	6120
406	4192	6108
407	4201	6095
408	4210	6083
409	4218	6070
410	4227	6058
411	4236	6046
412	4245	6033
413	4253	6021
414	4262	6008
415	4271	5996
416	4279	5983
417	4288	5971
418	4297	5959
419	4307	5948
420	4316	5936
421	4325	5924
422	4334	5912
423	4343	5899
424	4352	5888
425	4361	5876
426	4370	5864
427	4378	5851
428	4387	5839
429	4396	5827
430	4404	5815
431	4413	5803
432	4422	5791
433	4431	5778
434	4439	5766
435	4449	5755
436	4458	5743
437	4468	5733
438	4479	5723
439	4489	5714
440	4500	5704
441	4510	5693
442	4518	5681
443	4527	5669
444	4536	5657
445	4544	5645
446	4553	5633
447	4562	5621
448	4570	5609
449	4579	5597
450	4588	5585
451	4596	5572
452	4605	5560
453	4613	5548
454	4622	5536
455	4630	5524
456	4639	5512
457	4648	5501
458	4657	5489
459	4666	5477
460	4675	5466
461	4684	5454
462	4692	5442
463	4701	5431
464	4712	5421
465	4721	5410
466	4730	5398
467	4738	5386
468	4747	5374
469	4755	5362
470	4764	5351
471	4773	5339
472	4785	5331
473	4793	5319
474	4802	5307
475	4811	5296
476	4820	5285
477	4829	5273
478	4837	5261
479	4855	5260
480	4868	5253
481	4882	5247
482	4895	5239
483	4905	5229
484	4917	5221
485	4928	5212
