ward,target
21001001: Ward 1,19.661259079634725
21001002: Ward 2,13.038853312382248
21001003: Ward 3,21.951533550191318
21001004: Ward 4,16.6717930836932
21001005: Ward 5,21.905622289513524
21001006: Ward 6,24.183638140704698
21001007: Ward 7,12.898054684353994
21002001: Ward 1,18.1411340873987
21002002: Ward 2,17.179183671994547
21002003: Ward 3,22.518649883475874
21002004: Ward 4,21.573907805278004
21002005: Ward 5,17.297063744856256
21002006: Ward 6,16.768123416734277
21004001: Ward 1,15.523782465221297
21004002: Ward 2,22.07168590531272
21004003: Ward 3,16.668118407991976
21004004: Ward 4,13.145242105083621
21004005: Ward 5,24.485959441889552
21004006: Ward 6,19.34737763127737
21004007: Ward 7,24.117572162728646
21004008: Ward 8,15.149179427742203
21004009: Ward 9,22.339980884185618
21004010: Ward 10,20.32229838777774
21004011: Ward 11,25.030813911691286
21004012: Ward 12,13.493018294760649
21004013: Ward 13,20.17307297042982
21004014: Ward 14,18.53017521770173
21005001: Ward 1,26.8516551529055
21005002: Ward 2,16.541827891603084
21005003: Ward 3,17.50706435061191
21005004: Ward 4,17.034034055971574
21005005: Ward 5,19.693350352725542
21005006: Ward 6,15.29340751593188
21005007: Ward 7,24.668988377069677
21005008: Ward 8,24.4155530117074
21005009: Ward 9,23.2516578908844
21005010: Ward 10,7.224649159988097
21006001: Ward 1,20.602401980864435
21006002: Ward 2,18.51103249992139
21006003: Ward 3,17.890592104931457
21006004: Ward 4,21.394578583974702
21006005: Ward 5,21.933690229111
21006006: Ward 6,17.63225767168924
21006007: Ward 7,14.968516791094727
21006008: Ward 8,19.23730619846386
21008001: Ward 1,13.636004777126018
21008002: Ward 2,16.371468617316765
21008003: Ward 3,8.1562468823121
21008004: Ward 4,18.40693688361082
21008005: Ward 5,16.844222513679657
21008006: Ward 6,22.211653409029164
21008007: Ward 7,15.094048815614453
21008008: Ward 8,7.97747676467025
21008009: Ward 9,18.364971852617842
21008010: Ward 10,19.627500630183857
21008011: Ward 11,8.492755335817609
21008012: Ward 12,11.46513090674692
21008013: Ward 13,15.854437436124046
21008014: Ward 14,15.168636872696082
21008015: Ward 15,16.00251807664134
21009001: Ward 1,18.132869294528597
21009002: Ward 2,13.616943822619696
21009003: Ward 3,18.614929198122674
21009004: Ward 4,15.01617339546115
21009005: Ward 5,18.148569981314424
21009006: Ward 6,17.146995280520954
21201001: Ward 1,24.145035441007536
21201002: Ward 2,35.05801925683881
21201003: Ward 3,38.833314032408886
21201004: Ward 4,41.1233099564496
21201005: Ward 5,39.78590764503622
21201006: Ward 6,39.288007511456385
21201007: Ward 7,41.44807402626929
21201008: Ward 8,39.56923046941119
21201009: Ward 9,31.586011696600654
21201010: Ward 10,35.270851330644106
21201011: Ward 11,39.68770655858802
21201012: Ward 12,40.859516429164245
21201013: Ward 13,32.32111656567628
21201014: Ward 14,42.91660717765484
21201015: Ward 15,42.697207539448186
21201016: Ward 16,44.15413332688338
21201017: Ward 17,42.68407971113915
21201018: Ward 18,43.00823646877812
21201019: Ward 19,41.11844393570328
21201020: Ward 20,41.25366405092922
21201021: Ward 21,36.260250185232515
21201022: Ward 22,42.031284572289806
21201023: Ward 23,40.4159766614277
21201024: Ward 24,35.3020129695434
21201025: Ward 25,27.74839743524976
21201026: Ward 26,43.37130084643293
21201027: Ward 27,34.91260133602085
21201028: Ward 28,38.829316485005215
21201029: Ward 29,34.73472011289769
21201030: Ward 30,35.96635900696518
