ward,target
21001001: Ward 1,19.459146788408006
21001002: Ward 2,14.322794020624999
21001003: Ward 3,21.85899367261999
21001004: Ward 4,16.218442460532998
21001005: Ward 5,20.76875042169401
21001006: Ward 6,24.492221491426005
21001007: Ward 7,13.980494759725996
21002001: Ward 1,16.478307110651016
21002002: Ward 2,16.48936500339901
21002003: Ward 3,22.453523259592995
21002004: Ward 4,22.163809079872
21002005: Ward 5,16.42068678632
21002006: Ward 6,15.697602895503001
21004001: Ward 1,13.593399159797
21004002: Ward 2,22.746483078543
21004003: Ward 3,16.492055836229003
21004004: Ward 4,11.661493096057004
21004005: Ward 5,23.685347773262993
21004006: Ward 6,19.485132482775
21004007: Ward 7,24.397846026049002
21004008: Ward 8,12.760928774381
21004009: Ward 9,23.300328279868996
21004010: Ward 10,22.973920505739997
21004011: Ward 11,26.311468832324007
21004012: Ward 12,9.502706843441999
21004013: Ward 13,17.248946671614
21004014: Ward 14,15.412704232634997
21005001: Ward 1,28.46310170404399
21005002: Ward 2,16.818064906724004
21005003: Ward 3,15.89813191585701
21005004: Ward 4,18.713438982624993
21005005: Ward 5,17.69409811824301
21005006: Ward 6,12.812110844979998
21005007: Ward 7,26.824124061940015
21005008: Ward 8,20.039449670584006
21005009: Ward 9,18.690837369075
21005010: Ward 10,6.080508893824004
21006001: Ward 1,17.152681532084003
21006002: Ward 2,15.980482756257002
21006003: Ward 3,15.832787641088998
21006004: Ward 4,17.60157083357101
21006005: Ward 5,17.785202470584
21006006: Ward 6,16.263850249492005
21006007: Ward 7,13.846792596501002
21006008: Ward 8,17.054248899903
21008001: Ward 1,12.680612141606
21008002: Ward 2,18.69898991002301
21008003: Ward 3,6.330793112610003
21008004: Ward 4,19.016822685434008
21008005: Ward 5,18.304782673524006
21008006: Ward 6,22.958676033323997
21008007: Ward 7,14.323690779158012
21008008: Ward 8,8.044986263773001
21008009: Ward 9,18.983614126791
21008010: Ward 10,17.56342227108501
21008011: Ward 11,8.195724083927002
21008012: Ward 12,14.318419934108007
21008013: Ward 13,14.640085473591
21008014: Ward 14,15.104109346712008
21008015: Ward 15,13.728123672811005
21009001: Ward 1,17.003435800811996
21009002: Ward 2,14.230361986018
21009003: Ward 3,19.361002447130012
21009004: Ward 4,15.578705751328
21009005: Ward 5,15.805488222990995
21009006: Ward 6,15.601722783352006
21201001: Ward 1,23.763767001032008
21201002: Ward 2,36.757976165628
21201003: Ward 3,39.59507605164001
21201004: Ward 4,41.72343019712403
21201005: Ward 5,39.89664792720201
21201006: Ward 6,38.87212599377701
21201007: Ward 7,40.614842224187015
21201008: Ward 8,41.67282457850901
21201009: Ward 9,34.524768560807985
21201010: Ward 10,37.916688276966
21201011: Ward 11,40.248712348828
21201012: Ward 12,40.05223636612602
21201013: Ward 13,32.884728127862
21201014: Ward 14,42.40597167187102
21201015: Ward 15,43.47001296004702
21201016: Ward 16,44.12440138978503
21201017: Ward 17,42.92003962163702
21201018: Ward 18,42.561903921470005
21201019: Ward 19,41.332304614997
21201020: Ward 20,42.980134668894024
21201021: Ward 21,35.63074544080501
21201022: Ward 22,41.750026432709
21201023: Ward 23,39.72940571653402
21201024: Ward 24,35.22312346408702
21201025: Ward 25,28.173312551058004
21201026: Ward 26,44.03141508721902
21201027: Ward 27,35.17225077592001
21201028: Ward 28,38.448086248767986
21201029: Ward 29,35.27329664426498
21201030: Ward 30,35.973951463266
21201031: Ward 31,41.208755179685014
21202001: Ward 1,20.137315091135005
21202002: Ward 2,28.279267292292992
21202003: Ward 3,29.277520349116
21202004: Ward 4,24.518734778630016
21202005: Ward 5,30.075775853620993
21202006: Ward 6,30.028239210031003
21202007: Ward 7,34.429625828745
21202008: Ward 8,36.851389554145015
21202009: Ward 9,35.16398411830301
21202010: Ward 10,35.75125451158001
21202011: Ward 11,35.50527768915602
21202012: Ward 12,34.107517684061996
21202013: Ward 13,34.714650134576
21202014: Ward 14,34.249840244679
21202015: Ward 15,37.068426945404
21202016: Ward 16,34.00220525537399
21202017: Ward 17,35.29048549636901
21202018: Ward 18,33.84134201827501
21202019: Ward 19,37.031296865877
21202020: Ward 20,36.36259380428301
21202021: Ward 21,36.066919571681005
21202022: Ward 22,39.53911383068902
21202023: Ward 23,39.341573316687004
21202024: Ward 24,39.719007736810006
21202025: Ward 25,40.70669658473602
21202026: Ward 26,39.128029043830026
21202027: Ward 27,37.69333437238499
21202028: Ward 28,33.821252656876
21202029: Ward 29,37.31173443569801
21202030: Ward 30,33.472362900502006
21202031: Ward 31,39.56309730986602
21203001: Ward 1,19.500060302871002
21203002: Ward 2,32.684796920427985
21203003: Ward 3,30.449650049036
21203004: Ward 4,32.53987506255701
21203005: Ward 5,24.47567160902999
21203006: Ward 6,18.067617201784
21203007: Ward 7,21.355433780052014
21204001: Ward 1,32.50577434268302
21204002: Ward 2,24.533618176172002
21204003: Ward 3,32.720507650582
21204004: Ward 4,20.512151260868997
21204005: Ward 5,29.361535676081996
21204006: Ward 6,23.427526580217
21204007: Ward 7,34.12051502704401
21204008: Ward 8,33.05020054067101
21204009: Ward 9,29.077206288795004
21204010: Ward 10,29.94746192745501
21204011: Ward 11,32.66258110710699
21204012: Ward 12,36.54528132028401
