ward,target
21001001: Ward 1,18.940353292744387
21001002: Ward 2,14.973848924121391
21001003: Ward 3,22.272382615233163
21001004: Ward 4,16.893806114666294
21001005: Ward 5,22.043576845338492
21001006: Ward 6,23.621036555743856
21001007: Ward 7,13.504425633762562
21002001: Ward 1,17.608824798074334
21002002: Ward 2,16.603613901167915
21002003: Ward 3,22.810907397341165
21002004: Ward 4,20.639601151980212
21002005: Ward 5,17.81806712713636
21002006: Ward 6,16.500349549551885
21004001: Ward 1,15.308487457817112
21004002: Ward 2,23.627279708062037
21004003: Ward 3,16.05391052625882
21004004: Ward 4,11.788467739221396
21004005: Ward 5,24.101712945135287
21004006: Ward 6,20.827589946570594
21004007: Ward 7,24.748449141367917
21004008: Ward 8,15.141205652848672
21004009: Ward 9,23.847856121307473
21004010: Ward 10,22.43414871268449
21004011: Ward 11,26.082945535582336
21004012: Ward 12,13.755784900097328
21004013: Ward 13,20.775483151776466
21004014: Ward 14,17.554874517085022
21005001: Ward 1,26.844487213312302
21005002: Ward 2,16.26084348287219
21005003: Ward 3,17.36297091109409
21005004: Ward 4,17.61347789848663
21005005: Ward 5,20.06745814809251
21005006: Ward 6,14.980994467328337
21005007: Ward 7,25.88457157239304
21005008: Ward 8,24.034652523108555
21005009: Ward 9,22.964354141716598
21005010: Ward 10,6.295751157650806
21006001: Ward 1,21.374971800791442
21006002: Ward 2,17.650399646495188
21006003: Ward 3,17.65817902474492
21006004: Ward 4,21.815268188325135
21006005: Ward 5,20.986452882849736
21006006: Ward 6,18.15238774659413
21006007: Ward 7,14.673683532674325
21006008: Ward 8,18.469324381795733
21008001: Ward 1,14.7126833811214
21008002: Ward 2,17.001657215153465
21008003: Ward 3,6.233171969937441
21008004: Ward 4,18.397014927384507
21008005: Ward 5,17.40062808828503
21008006: Ward 6,23.105215455932615
21008007: Ward 7,14.980335368163102
21008008: Ward 8,8.012664384694656
21008009: Ward 9,19.829259207985032
21008010: Ward 10,20.023921596266835
21008011: Ward 11,8.406216109578072
21008012: Ward 12,14.394420211343313
21008013: Ward 13,16.11975581331711
21008014: Ward 14,14.556802358208015
21008015: Ward 15,15.970585587351344
21009001: Ward 1,17.99891929836739
