ward,target
21001001: Ward 1,18.537106051488237
21001002: Ward 2,14.35535592584652
21001003: Ward 3,22.310970965439573
21001004: Ward 4,15.77859656917379
21001005: Ward 5,21.662662309749198
21001006: Ward 6,24.26764556292245
21001007: Ward 7,14.29668104178022
21002001: Ward 1,17.75178790316951
21002002: Ward 2,15.816256796870057
21002003: Ward 3,22.13883909571817
21002004: Ward 4,21.615231787057745
21002005: Ward 5,18.25993197131338
21002006: Ward 6,17.102817956420854
21004001: Ward 1,15.015299004080756
21004002: Ward 2,23.078762740901595
21004003: Ward 3,16.42637210706417
21004004: Ward 4,11.526073143884492
21004005: Ward 5,24.00728964006737
21004006: Ward 6,20.947911430186107
21004007: Ward 7,24.640630626081265
21004008: Ward 8,15.161953515217666
21004009: Ward 9,23.85190592678075
21004010: Ward 10,22.17895002396684
21004011: Ward 11,26.055482305384498
21004012: Ward 12,13.245733337151876
21004013: Ward 13,20.750815921147066
21004014: Ward 14,17.91900975180321
21005001: Ward 1,27.44109389269358
21005002: Ward 2,16.061318721031554
21005003: Ward 3,16.516013916378068
21005004: Ward 4,18.71184114029306
21005005: Ward 5,19.483971874603743
21005006: Ward 6,14.436889689650803
21005007: Ward 7,26.518003828316044
21005008: Ward 8,23.94224403296417
21005009: Ward 9,23.048196367835825
21005010: Ward 10,5.962610911268986
21006001: Ward 1,21.996887654796254
21006002: Ward 2,17.91234719434169
21006003: Ward 3,17.988887107045457
21006004: Ward 4,22.8595196088599
21006005: Ward 5,22.77947979548234
21006006: Ward 6,18.685020295818727
21006007: Ward 7,14.97333133780375
21006008: Ward 8,18.627399291565244
21008001: Ward 1,14.703556106570064
21008002: Ward 2,17.17586963390534
21008003: Ward 3,5.925811021889846
21008004: Ward 4,18.457233564694114
21008005: Ward 5,17.73121049675027
21008006: Ward 6,23.08271315547005
21008007: Ward 7,14.669483961827275
21008008: Ward 8,8.001320850968984
21008009: Ward 9,19.935319437356693
21008010: Ward 10,19.182367858582886
21008011: Ward 11,8.683762670111772
21008012: Ward 12,13.611361328280747
21008013: Ward 13,14.854428589789828
21008014: Ward 14,14.81628685070375
21008015: Ward 15,15.582865638164705
21009001: Ward 1,17.48579459434064
21009002: Ward 2,14.830554691829954
21009003: Ward 3,19.503205714906947
21009004: Ward 4,16.157040276212843
21009005: Ward 5,17.399295800455075
21009006: Ward 6,17.27774916071123
21201001: Ward 1,25.92116141527808
21201002: Ward 2,34.76084541273422
21201003: Ward 3,38.71945564162513
21201004: Ward 4,39.823349876259336
21201005: Ward 5,38.95107954477807
21201006: Ward 6,38.742690209888224
21201007: Ward 7,40.58512077327432
21201008: Ward 8,39.366715365419246
21201009: Ward 9,33.79670948074974
21201010: Ward 10,37.00087167555882
21201011: Ward 11,39.562476880793554
21201012: Ward 12,40.026157895795734
21201013: Ward 13,31.989796270806423
21201014: Ward 14,40.2439760103043
21201015: Ward 15,43.26343142977059
21201016: Ward 16,42.90046276265671
21201017: Ward 17,42.25523856442461
21201018: Ward 18,43.06840809556897
21201019: Ward 19,38.421413659093545
21201020: Ward 20,42.75909758789252
21201021: Ward 21,35.77927274982246
21201022: Ward 22,40.75058378723851
21201023: Ward 23,39.65245646405561
21201024: Ward 24,34.49278814971122
21201025: Ward 25,28.46127913332566
21201026: Ward 26,44.79556350063209
21201027: Ward 27,35.02215972609036
21201028: Ward 28,37.96133173767702
21201029: Ward 29,35.014608627154
21201030: Ward 30,35.917241602423516
21201031: Ward 31,40.15699293802621
21202001: Ward 1,20.998152437945976
21202002: Ward 2,26.950418323889256
21202003: Ward 3,28.37733030869466
