ward,target
21001001: Ward 1,18.0
21001002: Ward 2,14.0
21001003: Ward 3,22.0
21001004: Ward 4,16.0
21001005: Ward 5,22.0
21001006: Ward 6,24.0
21001007: Ward 7,14.0
21002001: Ward 1,18.0
21002002: Ward 2,16.0
21002003: Ward 3,22.0
21002004: Ward 4,22.0
21002005: Ward 5,18.0
21002006: Ward 6,17.0
21004001: Ward 1,15.0
21004002: Ward 2,23.0
21004003: Ward 3,16.0
21004004: Ward 4,12.0
21004005: Ward 5,24.0
21004006: Ward 6,21.0
21004007: Ward 7,24.0
21004008: Ward 8,15.0
21004009: Ward 9,23.0
21004010: Ward 10,22.0
21004011: Ward 11,26.0
21004012: Ward 12,13.0
21004013: Ward 13,20.0
21004014: Ward 14,18.0
21005001: Ward 1,27.0
21005002: Ward 2,16.0
21005003: Ward 3,17.0
21005004: Ward 4,18.0
21005005: Ward 5,20.0
21005006: Ward 6,15.0
21005007: Ward 7,27.0
21005008: Ward 8,24.0
21005009: Ward 9,23.0
21005010: Ward 10,6.0
21006001: Ward 1,22.0
21006002: Ward 2,18.0
21006003: Ward 3,18.0
21006004: Ward 4,22.0
21006005: Ward 5,23.0
21006006: Ward 6,19.0
21006007: Ward 7,15.0
21006008: Ward 8,18.0
21008001: Ward 1,15.0
21008002: Ward 2,17.0
21008003: Ward 3,6.0
21008004: Ward 4,18.0
21008005: Ward 5,18.0
21008006: Ward 6,23.0
21008007: Ward 7,15.0
21008008: Ward 8,8.0
21008009: Ward 9,19.0
21008010: Ward 10,20.0
21008011: Ward 11,9.0
21008012: Ward 12,14.0
21008013: Ward 13,16.0
21008014: Ward 14,15.0
21008015: Ward 15,15.0
21009001: Ward 1,18.0
21009002: Ward 2,15.0
21009003: Ward 3,19.0
21009004: Ward 4,16.0
21009005: Ward 5,17.0
21009006: Ward 6,17.0
21201001: Ward 1,26.0
21201002: Ward 2,34.0
21201003: Ward 3,39.0
21201004: Ward 4,40.0
21201005: Ward 5,39.0
21201006: Ward 6,39.0
21201007: Ward 7,41.0
21201008: Ward 8,39.0
21201009: Ward 9,33.0
21201010: Ward 10,37.0
21201011: Ward 11,39.0
21201012: Ward 12,40.0
21201013: Ward 13,32.0
21201014: Ward 14,40.0
21201015: Ward 15,43.0
21201016: Ward 16,43.0
21201017: Ward 17,42.0
21201018: Ward 18,43.0
21201019: Ward 19,38.0
21201020: Ward 20,43.0
21201021: Ward 21,35.0
21201022: Ward 22,41.0
21201023: Ward 23,40.0
21201024: Ward 24,34.0
21201025: Ward 25,28.0
21201026: Ward 26,44.0
21201027: Ward 27,35.0
21201028: Ward 28,38.0
21201029: Ward 29,35.0
21201030: Ward 30,36.0
21201031: Ward 31,40.0
21202001: Ward 1,21.0
21202002: Ward 2,27.0
21202003: Ward 3,28.0
21202004: Ward 4,25.0
21202005: Ward 5,29.0
21202006: Ward 6,30.0
21202007: Ward 7,33.0
21202008: Ward 8,36.0
21202009: Ward 9,33.0
21202010: Ward 10,36.0
21202011: Ward 11,34.0
21202012: Ward 12,35.0
21202013: Ward 13,35.0
21202014: Ward 14,35.0
21202015: Ward 15,37.0
21202016: Ward 16,33.0
21202017: Ward 17,36.0
21202018: Ward 18,33.0
21202019: Ward 19,37.0
21202020: Ward 20,36.0
21202021: Ward 21,36.0
21202022: Ward 22,39.0
21202023: Ward 23,39.0
21202024: Ward 24,39.0
21202025: Ward 25,41.0
21202026: Ward 26,38.0
21202027: Ward 27,37.0
21202028: Ward 28,35.0
21202029: Ward 29,35.0
21202030: Ward 30,33.0
21202031: Ward 31,38.0
21203001: Ward 1,19.0
21203002: Ward 2,32.0
21203003: Ward 3,31.0
