ward,target
21001001: Ward 1,18.404285
21001002: Ward 2,13.981898
21001003: Ward 3,21.700714
21001004: Ward 4,14.831511
21001005: Ward 5,19.96948
21001006: Ward 6,25.086222
21001007: Ward 7,10.871925
21002001: Ward 1,15.867651
21002002: Ward 2,18.923843
21002003: Ward 3,23.717691
21002004: Ward 4,22.188015
21002005: Ward 5,16.451303
21002006: Ward 6,15.690313
21004001: Ward 1,13.7649
21004002: Ward 2,25.726175
21004003: Ward 3,16.502335
21004004: Ward 4,10.814802
21004005: Ward 5,21.79166
21004006: Ward 6,23.764786
21004007: Ward 7,26.128723
21004008: Ward 8,15.572225
21004009: Ward 9,23.356565
21004010: Ward 10,21.081964
21004011: Ward 11,28.871313
21004012: Ward 12,13.517867
21004013: Ward 13,18.779945
21004014: Ward 14,19.455729
21005001: Ward 1,26.883387
21005002: Ward 2,16.622799
21005003: Ward 3,15.45616
21005004: Ward 4,18.834969
21005005: Ward 5,18.969048
21005006: Ward 6,14.14897
21005007: Ward 7,29.16222
21005008: Ward 8,23.67099
21005009: Ward 9,22.329401
21005010: Ward 10,7.1490784
21006001: Ward 1,18.72163
21006002: Ward 2,18.07354
21006003: Ward 3,14.397893
21006004: Ward 4,21.087143
21006005: Ward 5,22.912186
21006006: Ward 6,15.885725
21006007: Ward 7,12.588969
21006008: Ward 8,16.280487
21008001: Ward 1,13.91303
21008002: Ward 2,16.205568
21008003: Ward 3,7.8316636
21008004: Ward 4,16.936697
21008005: Ward 5,16.350471
21008006: Ward 6,21.612755
21008007: Ward 7,14.830682
21008008: Ward 8,7.6725006
21008009: Ward 9,18.203514
21008010: Ward 10,19.393248
21008011: Ward 11,7.667146
21008012: Ward 12,10.360206
21008013: Ward 13,15.30244
21008014: Ward 14,11.56367
21008015: Ward 15,15.831875
21009001: Ward 1,16.799042
21009002: Ward 2,12.328725
21009003: Ward 3,16.181992
21009004: Ward 4,14.712482
21009005: Ward 5,15.252344
21009006: Ward 6,15.967041
21201001: Ward 1,24.355469
21201002: Ward 2,31.663713
21201003: Ward 3,40.171547
21201004: Ward 4,40.211205
21201005: Ward 5,41.297436
21201006: Ward 6,38.889732
21201007: Ward 7,37.47901
21201008: Ward 8,42.99635
21201009: Ward 9,32.14009
21201010: Ward 10,38.299263
